Name,Year,Genres
Sneaks,2025,Family; Comedy; Adventure; Animation
Sinners,2025,Horror; Action; Thriller
Hallow Road,2025,Horror; Mystery; Thriller
The Surfer,2025,Thriller; Drama
Sacramento,2025,Comedy; Drama
Drop,2025,Mystery; Thriller
Warfare.2025.Hybrid.2160p.WEB-DL.DV.HDR.DDP5.1.Atmos.H265-AOC,2025,War; Action
The Amateur,2025,Thriller; Action
Freaky Tales,2025,Action; Comedy; Crime
Fight or Flight,2025,Action; Comedy; Thriller
Eden,2025,Thriller; Drama
A Minecraft Movie,2025,Family; Fantasy; Comedy; Adventure; Action
The Friend,2025,Drama
Day of Reckoning,2025,Western; Action
The Ballad of Wallis Island,2025,Comedy; Drama; Music
The Woman in the Yard,2025,Horror; Mystery
The Penguin Lessons,2025,Drama
Death of a Unicorn,2025,Horror; Fantasy; Comedy
A Working Man,2025,Action; Crime; Thriller
Magazine Dreams,2025,Drama
Screamboat,2025,Horror; Comedy
Locked,2025,Horror; Thriller
Ash,2025,Horror; Science Fiction
The Alto Knights,2025,Crime; Drama; History
Opus,2025,Horror; Mystery; Thriller
Bonjour Tristesse,2025,Romance; Drama
Snow White,2025,Family; Fantasy
Novocaine,2025,Action; Comedy; Thriller
Black Bag,2025,Drama; Mystery; Thriller
Holland,2025,Thriller; Mystery
Plankton: The Movie,2025,Animation; Adventure; Comedy; Family; Fantasy
The Ugly Stepsister,2025,Horror; Comedy; Fantasy; Drama
Seven Veils,2025,Drama
The Rule of Jenny Pen,2025,Horror; Thriller
It Ends,2025,Mystery; Drama; Horror
The Electric State,2025,Science Fiction; Adventure; Action
Another Simple Favor,2025,Comedy; Thriller; Mystery
Mickey 17,2025,Science Fiction; Comedy; Adventure
Last Breath,2025,Thriller; Drama
We The North: From Prehistoric to Historic,2025,Documentary
SNL50: The Homecoming Concert,2025,Comedy; Music
The Monkey,2025,Horror; Comedy
The Gorge,2025,Romance; Science Fiction; Thriller
Captain America: Brave New World,2025,Action; Thriller; Science Fiction
Bridget Jones - Mad About the Boy,2025,Romance; Comedy; Drama
Love Hurts,2025,Action; Comedy; Romance
Heart Eyes,2025,Horror; Comedy; Romance
Becoming Led Zeppelin,2025,Documentary; Music
Ladies & Gentlemen... 50 Years of SNL Music,2025,Music; Documentary; TV Movie
Dog Man,2025,Family; Comedy; Adventure; Animation; Crime
Happyend,2025,Drama
Flight Risk,2025,Action; Thriller
Companion.2025.Hybrid.2160p.WEB-DL.DV.HDR.DDP5.1.Atmos.H265-AOC,2025,Horror; Science Fiction; Thriller
Companion,2025,Horror; Science Fiction; Thriller
Presence,2025,Horror; Thriller; Drama
One of Them Days,2025,Comedy
Wolf Man,2025,Horror; Thriller
Den of Thieves 2: Pantera,2025,Action; Crime; Thriller
The Damned,2025,Drama; Horror; Mystery
2073,2024,Thriller; Science Fiction
Nosferatu,2024,Horror; Fantasy
A Complete Unknown,2024,Drama; Music
The Brutalist,2024,Drama; History
Sonic the Hedgehog 3,2024,Action; Science Fiction; Comedy; Family
Mufasa: The Lion King,2024,Adventure; Family; Animation
Old Guy,2024,Action; Comedy; Crime
The Last Showgirl,2024,Drama
The Bibi Files,2024,Documentary
Kraven the Hunter,2024,Action; Adventure; Thriller
Y2K,2024,Comedy; Horror; Science Fiction
Hard Truths,2024,Drama; Comedy
The End,2024,Drama; Music
Better Man,2024,Music; Drama
The Order,2024,Crime; Drama; Thriller
Carry-On,2024,Thriller; Action
Werewolves,2024,Action; Horror; Thriller
The Return,2024,History; Drama; Adventure
Moana 2,2024,Animation; Adventure; Family; Comedy
Wicked,2024,Drama; Romance; Fantasy
Wicked,2024,Drama; Romance; Fantasy
Buy Now! The Shopping Conspiracy,2024,Documentary
Gladiator II,2024,Action; Adventure; Drama
Hot Frosty,2024,Romance; Comedy
Paddington in Peru,2024,Family; Comedy; Adventure
September 5,2024,Thriller; Drama; History
Elevation,2024,Action; Science Fiction; Thriller
Small Things Like These,2024,Drama; History
A Real Pain,2024,Comedy; Drama
No Other Land,2024,Documentary
Red One,2024,Action; Comedy; Fantasy
Heretic,2024,Horror; Thriller
Juror #2,2024,Drama; Thriller
Here,2024,Drama
Conclave,2024,Drama; Thriller
Venom: The Last Dance,2024,Action; Science Fiction; Adventure
Memoir of a Snail,2024,Animation; Drama; Comedy
Anora,2024,Drama; Comedy; Romance
We Live in Time,2024,Romance; Drama
Piece by Piece,2024,Animation; Family; Music; Documentary
The Apprentice,2024,Drama; History
The Menendez Brothers,2024,Documentary
Woman of the Hour,2024,Crime; Drama; Thriller
Architecton,2024,Documentary
Joker: Folie à Deux,2024,Drama; Crime; Thriller
Saturday Night,2024,Comedy; Drama
The Outrun,2024,Drama
Solvent,2024,Horror; Drama; Mystery
Megalopolis,2024,Science Fiction; Drama
Apartment 7A,2024,Horror; Thriller
I'm Still Here,2024,Drama; History
The Seed of the Sacred Fig,2024,Drama; Thriller; Crime
My Old Ass,2024,Comedy; Drama
The Wild Robot,2024,Animation; Science Fiction; Family
Lee,2024,History; Drama; War
Transformers One,2024,Animation; Science Fiction; Adventure; Family
Speak No Evil,2024,Horror; Thriller
Beetlejuice Beetlejuice,2024,Horror; Comedy; Fantasy
Broken Bird,2024,Horror; Thriller
Afraid,2024,Horror; Science Fiction; Thriller
Scared Shitless,2024,Horror; Comedy
Charlotte,2024,Thriller
A Different Man,2024,Comedy; Drama
Emilia Pérez,2024,Drama; Thriller
The Crow,2024,Action; Fantasy; Horror
Blink Twice,2024,Mystery; Thriller
Alien: Romulus,2024,Horror; Science Fiction
It Ends with Us,2024,Drama; Romance
Borderlands,2024,Action; Science Fiction; Comedy
Trap,2024,Thriller; Mystery; Crime; Horror
Deadpool & Wolverine,2024,Action; Comedy; Science Fiction
Oddity,2024,Horror; Mystery
Birdeater,2024,Thriller; Drama; Horror
Sing Sing,2024,Drama
Twisters,2024,Action; Thriller
Longlegs,2024,Crime; Horror; Mystery
Fly Me to the Moon,2024,Romance; Comedy
Rumours,2024,Comedy; Horror
A Quiet Place: Day One,2024,Horror; Science Fiction; Thriller
Despicable Me 4,2024,Family; Comedy; Animation; Science Fiction
The Bikeriders,2024,Crime; Drama
Inside Out 2,2024,Animation; Adventure; Comedy; Family
Young Woman and the Sea,2024,History; Drama
Kinds of Kindness,2024,Drama; Comedy
Furiosa: A Mad Max Saga,2024,Action; Science Fiction; Adventure
Hit Man,2024,Comedy; Romance; Crime
The Strangers: Chapter 1,2024,Horror; Thriller
I Saw the TV Glow,2024,Drama; Horror
The Garfield Movie,2024,Adventure; Animation; Comedy; Family
The Fall Guy,2024,Action; Comedy; Romance
Rebel Moon - Part Two: The Scargiver,2024,Science Fiction; Action; Adventure
Challengers,2024,Drama; Romance
Arcadian,2024,Action; Horror; Thriller; Science Fiction
Civil War,2024,War; Action; Drama
Monkey Man,2024,Action; Thriller
Godzilla x Kong: The New Empire,2024,Action; Adventure; Science Fiction
Ghostbusters: Frozen Empire,2024,Fantasy; Adventure; Comedy
Late Night with the Devil,2024,Horror
The Wonderful Story of Henry Sugar and Three More,2024,Comedy; Drama
My Dead Friend Zoe,2024,Comedy; War; Drama
Kung Fu Panda 4,2024,Animation; Family; Action; Comedy; Adventure; Fantasy
Dune: Part Two,2024,Science Fiction; Adventure
Cuckoo,2024,Horror; Mystery; Thriller
Madame Web,2024,Action; Fantasy
Bob Marley: One Love,2024,Music; History; Drama
FLOW,2024,Animation
Argylle,2024,Action; Adventure; Comedy; Thriller
I.S.S.,2024,Science Fiction; Thriller
The Book of Clarence,2024,Adventure; Comedy; Drama
The Beekeeper,2024,Action; Crime; Thriller
Night Swim,2024,Horror
All of Us Strangers,2023,Romance; Drama; Fantasy
Anyone But You,2023,Romance; Comedy
Aquaman and the Lost Kingdom,2023,Action; Adventure; Fantasy
The Zone of Interest,2023,Drama; History; War
The Zone of Interest,2023,Drama; History; War
Rebel Moon - Part One: A Child of Fire,2023,Science Fiction; Action; Adventure
Ferrari,2023,History; Drama
The Family Plan,2023,Action; Comedy; Family
Poor Things,2023,Science Fiction; Romance; Comedy
Wonka,2023,Comedy; Family; Fantasy
Napoleon,2023,History; War; Romance
Leave the World Behind,2023,Drama; Mystery; Thriller
Saltburn,2023,Drama; Comedy; Thriller
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Drama; Science Fiction; Adventure; Action
Perfect Days,2023,Drama
Dream Scenario,2023,Comedy; Fantasy
American Fiction,2023,Comedy; Drama
The Marvels,2023,Science Fiction; Adventure; Action
Godzilla Minus One,2023,Science Fiction; Horror; Action
The Holdovers,2023,Comedy; Drama
Monolith,2023,Horror; Mystery; Science Fiction; Thriller
The Killer,2023,Crime; Thriller
Five Nights at Freddy's,2023,Horror; Thriller
Killers of the Flower Moon,2023,Crime; History; Drama
The Delinquents,2023,Drama; Comedy; Crime
TAYLOR SWIFT | THE ERAS TOUR,2023,Music
Trolls Band Together,2023,Animation; Family; Music; Fantasy; Comedy
Poison,2023,Comedy; Thriller
Common Ground,2023,Documentary
The Rat Catcher,2023,Comedy
The Swan,2023,Drama
Dogman,2023,Action; Drama; Crime
The Creator,2023,Science Fiction; Action; Adventure
The Wonderful Story of Henry Sugar,2023,Comedy; Fantasy; Adventure
Fallen Leaves,2023,Romance; Comedy; Drama
The Contestant,2023,Documentary
The Nun II,2023,Horror
Anatomy of a Fall,2023,Thriller; Mystery; Crime
Blue Beetle,2023,Action; Science Fiction; Adventure
Red Rooms,2023,Thriller; Crime
Gran Turismo,2023,Adventure; Action; Drama
The Passenger,2023,Thriller; Drama
Meg 2: The Trench,2023,Action; Science Fiction; Horror
Talk to Me,2023,Horror
Stephen Curry: Underrated,2023,Documentary
Oppenheimer,2023,Drama; History
Barbie,2023,Comedy; Adventure
Mission: Impossible - Dead Reckoning Part One,2023,Action; Adventure; Thriller
Indiana Jones and the Dial of Destiny,2023,Adventure; Action
Elemental,2023,Family; Fantasy; Comedy; Romance; Animation
The Flash,2023,Adventure; Action; Science Fiction
Asteroid City,2023,Comedy; Drama
Past Lives,2023,Drama; Romance
Spider-Man: Across the Spider-Verse,2023,Animation; Action; Adventure; Science Fiction
The Little Mermaid,2023,Adventure; Family; Fantasy; Romance
Influencer,2023,Horror; Thriller
Fast X,2023,Action; Crime; Thriller; Adventure; Mystery
Guardians of the Galaxy Vol. 3,2023,Science Fiction; Adventure; Action; Comedy
Beau Is Afraid,2023,Comedy; Adventure; Fantasy
How to Blow Up a Pipeline,2023,Crime; Drama; Thriller
The Super Mario Bros. Movie,2023,Family; Comedy; Adventure; Animation
Air,2023,Drama; History
Dungeons & Dragons: Honor Among Thieves,2023,Adventure; Fantasy; Comedy
John Wick: Chapter 4,2023,Action; Thriller; Crime
Shazam! Fury of the Gods,2023,Comedy; Action; Fantasy
Scream VI,2023,Horror; Crime; Thriller
65,2023,Action; Adventure; Science Fiction
Cocaine Bear,2023,Thriller; Comedy; Crime
Ant-Man and the Wasp: Quantumania,2023,Action; Adventure; Science Fiction
BlackBerry,2023,Comedy; Drama; History
Knock at the Cabin,2023,Horror; Mystery; Thriller
Skinamarink,2023,Horror
Top Gun: Maverick,2022,Action; Drama
M3GAN,2022,Science Fiction; Horror
Babylon,2022,Drama; Comedy
Avatar: The Way of Water,2022,Science Fiction; Adventure; Action
The Whale,2022,Drama
Puss in Boots: The Last Wish,2022,Animation; Adventure; Fantasy; Comedy; Family
Violent Night,2022,Action; Comedy; Fantasy
The Guardians of the Galaxy Holiday Special,2022,Comedy; Science Fiction; Adventure
Strange World,2022,Animation; Family; Adventure; Science Fiction; Fantasy
Glass Onion: A Knives Out Mystery,2022,Comedy; Crime; Mystery
The Menu,2022,Comedy; Horror; Thriller
Black Panther: Wakanda Forever,2022,Action; Adventure; Science Fiction
The Banshees of Inisherin,2022,Drama; Comedy
Black Adam,2022,Action; Adventure; Science Fiction
Halloween Ends,2022,Horror; Thriller
Smile,2022,Horror; Mystery
Don't Worry Darling,2022,Science Fiction; Mystery; Thriller
Pearl,2022,Horror; Drama; Thriller
